evt, m, deta, e_ratio
514,24.398,1.67952,0.718186
515,16.0156,1.69734,0.202583
516,14.5417,3.46317,0.105879
517,16.1013,2.34247,0.186776
518,14.4871,2.55503,0.0932519
519,16.12,2.30236,0.771647
520,14.4785,2.72151,0.345885
521,14.1809,2.44848,0.105578
522,15.1261,1.58961,0.315757
523,24.6571,2.19818,0.223643
524,18.1316,1.98494,0.636982
525,15.1216,0.297231,0.804389
526,15.5625,1.18754,0.880116
527,16.8015,6.07174,0.614312
528,17.3658,1.17724,0.479969
529,15.5177,3.3816,0.087417
530,24.0552,6.96385,0.00904282
531,16.6778,0.390685,0.733098
532,14.2472,2.25847,0.328021
533,14.2794,3.72013,0.0572182
534,14.217,1.94157,0.815186
535,14.7993,6.93549,0.0576214
536,27.3599,4.44186,0.0860114
537,15.4801,2.30642,0.28848
538,32.4756,2.41066,0.386121
539,15.7296,4.22124,0.506399
540,17.7498,4.14027,0.0806928
541,21.1259,0.890087,0.494011
542,23.8943,1.09206,0.725017
543,25.298,4.65778,0.0747311
544,15.1253,1.72108,0.254828
545,18.7248,5.99508,0.790053
546,16.9703,2.17378,0.128149
547,19.4461,3.47268,0.118331
548,14.4249,2.90398,0.108203
549,14.4519,6.1636,0.0667296
550,32.3699,2.68357,0.0892576
551,23.1155,7.84333,0.257963
552,23.3771,5.9328,0.0167833
553,14.3122,1.13655,0.682925
554,14.5077,3.84698,0.614359
555,14.4363,1.32304,0.718155
556,15.7907,0.0617823,0.890903
557,16.146,4.5993,0.0220427
558,17.8202,1.97212,0.253089
559,14.2644,4.55429,0.453176
560,17.6864,3.06384,0.369966
561,19.1634,6.68029,0.00905597
562,14.2475,0.516983,0.810319
563,15.7188,7.29681,0.654849
564,14.8504,0.964433,0.397572
565,31.665,3.93299,0.0488209
566,16.9458,0.687658,0.718201
567,15.3739,5.39029,0.0429892
568,22.0766,3.45369,0.0358005
569,14.5468,5.44553,0.375951
570,31.6767,3.74982,0.10441
571,16.5223,5.50956,0.513858
572,26.0919,1.64991,0.197547
573,16.2914,0.929622,0.431912
574,22.794,0.727132,0.611976
575,14.3749,0.246798,0.901772
576,16.2786,6.1087,0.731428
577,14.8636,0.678179,0.552864
578,15.2569,5.53423,0.0935645
579,18.0005,5.96207,0.162477
580,14.8606,5.29271,0.263393
581,15.9363,3.576,0.596907
582,15.5395,0.900772,0.42747
583,17.0812,2.17505,0.299908
584,14.2495,2.46408,0.392192
585,14.1843,0.6919,0.642029
586,15.1944,0.351682,0.891472
587,15.4869,5.35782,0.0236828
588,17.2651,3.35306,0.140135
589,18.2429,1.50481,0.321522
590,16.6887,1.16309,0.818923
591,16.8048,2.90434,0.273768
592,14.2619,2.14114,0.127934
593,14.3273,2.18446,0.14292
594,23.1489,5.15267,0.0861875
595,22.4769,0.79606,0.455572
596,18.2151,1.83286,0.388927
597,14.3052,4.30262,0.0311457
598,17.0546,0.837427,0.575194
599,17.0534,3.74113,0.189696
600,18.4292,5.5492,0.0845277
601,15.0383,2.8308,0.322418
602,16.6594,0.542325,0.563909
603,14.9747,0.293559,0.797827
604,19.3417,2.28791,0.455772
605,14.4586,3.92169,0.470914
606,23.4978,2.07776,0.179125
607,15.3088,1.44839,0.381432
608,16.808,3.51699,0.432233
609,15.1584,7.071,0.0780928
610,15.5468,2.49728,0.722808
611,32.7948,1.34123,0.278712
612,18.7443,3.34311,0.143035
613,14.4371,0.528462,0.606133
614,17.0702,0.569923,0.806675
615,16.0737,0.28547,0.752851
616,21.2973,4.57063,0.540659
617,19.8003,3.30467,0.0440507
618,17.2596,0.488706,0.682532
619,14.9767,2.59987,0.091865
620,15.7931,0.414267,0.726626
621,18.8051,3.89374,0.191687
622,17.2362,3.97994,0.385644
623,15.8514,0.0456065,0.991017
624,16.2571,0.819149,0.528377
625,16.723,6.48713,0.725241
626,16.9736,0.486956,0.634946
627,16.3187,1.23147,0.610475
628,24.9698,1.28874,0.407599
629,22.1788,3.75542,0.451522
630,18.062,1.2858,0.301889
631,15.4132,0.146834,0.822505
632,17.7865,2.67003,0.121991
633,15.4573,0.251015,0.798331
634,15.0735,2.55695,0.201275
635,15.6178,5.19954,0.0289944
636,14.6114,5.08868,0.59325
637,16.4782,0.545266,0.863661
638,15.6708,2.56989,0.088591
639,14.2712,4.64359,0.245458
640,15.5666,1.69205,0.663307
641,15.9083,3.74667,0.966261
642,23.7603,5.67608,0.500649
643,15.6423,2.24965,0.283679
644,23.6564,0.305974,0.855381
645,16.598,2.53515,0.0858629
646,15.1872,0.330972,0.919095
647,16.819,3.86466,0.052209
648,23.954,1.23453,0.317174
649,14.692,5.72273,0.926957
650,14.4315,0.474936,0.894726
651,27.1546,5.12825,0.555605
652,17.396,8.22365,0.219584
653,28.8215,2.72374,0.170046
654,17.925,5.64051,0.764293
655,15.2966,5.71027,0.894846
656,15.9892,5.49504,0.305453
657,14.6856,3.21592,0.57849
658,15.4639,2.54441,0.104965
659,14.5008,1.42805,0.679689
660,15.9861,2.72142,0.119821
661,19.4649,5.1252,0.343827
662,29.496,8.01249,0.242377
663,26.2934,1.59423,0.243015
664,15.4019,3.26552,0.142346
665,23.6725,1.21535,0.654947
666,16.3832,3.8023,0.0314628
667,16.1928,6.18284,0.016791
668,16.3248,4.58262,0.0318838
669,18.85,6.64964,0.0978892
670,17.3102,3.26174,0.292033
671,27.319,0.377535,0.730302
672,14.2361,2.53876,0.140821
673,22.3193,1.45277,0.267298
674,14.6219,3.36582,0.288881
675,16.0743,2.36926,0.14103
676,14.3733,3.60687,0.400861
677,14.6868,1.81715,0.309154
678,16.4114,1.38022,0.404484
679,15.206,2.69708,0.252825
680,15.3106,1.58017,0.572313
681,17.182,6.86892,0.292213
682,17.7368,0.13512,0.852937
683,15.2723,0.180968,0.822023
684,16.2369,7.37127,0.0843212
685,21.2128,3.1065,0.229586
686,14.9906,0.143664,0.873593
687,15.3771,1.25246,0.289283
688,15.2733,6.43577,0.0130746
689,17.8725,1.01309,0.351533
690,15.7174,1.32787,0.396895
691,18.8847,8.62433,0.0159311
692,16.9077,2.24925,0.72615
693,20.3619,0.302481,0.849747
694,17.6358,1.7,0.952393
695,14.3954,0.301213,0.759499
696,14.7917,0.15779,0.970361
697,14.872,1.33173,0.264972
698,17.4912,0.510854,0.774875
699,18.3004,2.29056,0.147469
700,15.4554,6.84872,0.191053
701,17.9368,0.96746,0.38784
702,15.5268,2.70336,0.0808063
703,16.3071,2.40962,0.161522
704,15.6662,0.155084,0.919514
705,15.6281,5.05591,0.0340653
706,19.2294,0.428826,0.680887
707,14.4361,2.90473,0.10523
708,20.3806,3.35699,0.293388
709,14.8381,0.657482,0.529077
710,25.3368,5.16676,0.304321
711,18.6344,3.98852,0.378478
712,29.9183,4.17424,0.206407
713,17.5156,1.7358,0.189363
714,14.2789,5.52678,0.0907137
715,14.8867,3.2193,0.0877341
716,17.7795,1.55926,0.262479
717,47.7051,2.11996,0.69364
718,18.2004,1.55191,0.22727
719,23.1627,7.73935,0.0147253
720,15.284,3.60065,0.03783
721,14.555,0.188882,0.944467
722,16.1313,0.748214,0.704958
723,14.2764,0.580477,0.707919
724,14.5309,1.52184,0.301517
725,18.3401,1.97234,0.520245
726,26.4041,2.93037,0.375924
727,16.3611,3.23938,0.210727
728,15.5639,4.1366,0.361849
729,18.2644,4.02776,0.0300034
730,28.2076,4.93981,0.0198555
731,14.6698,3.72026,0.192699
732,14.2646,4.78359,0.509314
733,16.4727,1.10119,0.357197
734,16.1205,8.25692,0.0589435
735,18.0535,1.69382,0.211065
736,14.3111,6.54112,0.0491024
737,16.7615,0.886083,0.870141
738,14.787,2.8774,0.0731936
739,16.9667,0.543203,0.626226
740,16.7557,2.74597,0.114634
741,20.1662,2.42378,0.0945435
742,21.953,1.19842,0.40498
743,14.3316,2.35567,0.910912
744,20.0917,5.56832,0.0447359
745,17.4347,0.10144,0.993327
746,16.2437,3.37304,0.108705
747,15.7473,3.58118,0.0638468
748,15.4712,2.36977,0.590307
749,23.5103,6.48792,0.184893
750,19.3319,1.2896,0.402288
751,17.8111,6.69632,0.18452
752,19.1799,0.0346776,0.966345
753,14.8227,1.05818,0.473008
754,15.9424,0.399289,0.804471
755,16.6814,3.10469,0.0571575
756,15.7817,1.51555,0.810854
757,15.0745,1.51362,0.2573
758,25.1005,1.19458,0.392091
759,15.3836,0.253976,0.838911
760,14.2365,1.16778,0.326993
761,16.2774,4.47682,0.029843
762,14.205,7.63405,0.0829734
763,15.2654,2.42371,0.106018
764,15.8237,10.4253,0.00876967
765,15.6522,1.29506,0.293939
766,17.367,3.07413,0.0671442
767,18.4001,1.78717,0.787106
768,15.9747,5.29712,0.0458547
769,14.2175,0.884806,0.510676
770,26.4818,4.38036,0.136588
771,18.7791,4.40586,0.0299788
772,17.8322,4.63877,0.204614
773,16.0018,2.96431,0.300152
774,14.5814,5.97732,0.0130266
775,16.9665,1.89864,0.240653
776,17.4961,5.84135,0.479613
777,21.7246,2.31594,0.141263
778,15.1499,9.29729,0.0104598
779,15.4444,1.4671,0.505527
780,40.0541,4.81377,0.659689
781,14.8,4.98098,0.052924
782,16.4827,1.84541,0.261133
783,16.2895,1.60923,0.525745
784,18.9093,0.935779,0.792356
785,15.4341,0.0471571,0.9365
786,34.0853,0.968825,0.741662
787,14.2591,0.0730872,0.960554
788,15.3264,2.07929,0.453935
789,25.6284,1.12416,0.490994
790,14.8284,1.95663,0.215946
791,25.2434,0.914376,0.905581
792,16.4704,0.713823,0.626467
793,14.55,3.23444,0.112472
794,14.2735,2.27813,0.603249
795,14.7656,3.75861,0.0675555
796,15.4207,1.41616,0.372631
797,18.8372,0.814197,0.821448
798,16.249,5.11133,0.0652125
