evt, m, deta, e_ratio
514,6.10266,1.97773,0.222419
515,10.0903,3.81445,0.105951
516,4.0944,5.56252,0.0330077
517,4.69765,4.4351,0.101898
518,3.83213,1.12163,0.300995
519,4.51905,4.50941,0.0411149
520,5.17738,7.29841,0.971346
521,3.54085,0.426976,0.762034
522,4.15745,1.96085,0.126452
523,4.04832,0.77737,0.381102
524,6.19094,4.39091,0.445756
525,3.53885,2.89089,0.274386
526,4.90694,3.19368,0.0951728
527,4.37269,4.19526,0.140491
528,3.7653,3.38423,0.0428855
529,8.40777,0.0748777,0.84573
530,7.0018,4.20744,0.0679887
531,3.93916,2.52476,0.162566
532,3.66594,2.61346,0.136117
533,3.82823,0.865856,0.993075
534,3.82293,5.77398,0.0301688
535,4.72045,1.44592,0.267704
536,4.27795,0.395484,0.954511
537,3.75542,2.74553,0.174085
538,5.0744,5.30493,0.189279
539,4.79823,0.816325,0.56101
540,3.66653,1.18428,0.44915
541,4.31683,4.56468,0.246059
542,5.48821,3.02213,0.0697642
543,3.72001,1.02732,0.456107
544,3.70232,1.86815,0.165693
545,3.74154,3.61408,0.0595888
546,3.55114,7.21262,0.0253298
547,4.55202,1.49811,0.674383
548,3.68536,0.713278,0.72424
549,3.9169,2.35134,0.124111
550,3.69508,1.32256,0.387197
551,5.0942,5.86548,0.0207296
552,3.67764,4.42509,0.0265007
553,3.94408,2.55375,0.161243
554,3.75368,0.515105,0.923343
555,6.15028,0.392788,0.956206
556,3.56129,1.43274,0.202773
557,5.53804,7.63106,0.0708929
558,6.21703,0.132656,0.9025
559,4.43824,3.99021,0.039815
560,3.88734,6.12795,0.183453
561,4.59128,4.3163,0.0220385
562,3.76907,2.21824,0.224459
563,4.78093,7.09111,0.387823
564,6.17412,3.73348,0.235304
565,3.55075,0.0095838,0.931676
566,3.63586,0.623871,0.738124
567,3.64622,5.78336,0.0154365
568,4.25212,0.381898,0.831141
569,3.79813,3.69347,0.835339
570,4.22483,4.76657,0.0633715
571,4.05149,0.670478,0.779515
572,4.71546,0.814277,0.425122
573,4.12823,3.5744,0.0539816
574,4.59867,2.29806,0.144885
575,4.76629,6.64623,0.05012
576,3.90184,5.34433,0.31634
577,4.7067,1.68656,0.455059
578,4.8066,3.63985,0.273312
579,4.51613,0.93128,0.443064
580,6.3633,5.70459,0.01109
581,5.61374,1.74792,0.492257
582,5.72709,0.069246,0.723441
583,4.17813,3.23955,0.0421065
584,4.27409,1.39767,0.627074
585,3.69271,1.77097,0.405702
586,4.42846,0.0902967,0.724412
587,3.63757,4.9908,0.0946371
588,3.83027,1.38329,0.167471
589,10.1529,1.59535,0.638092
590,3.80867,2.25438,0.129259
591,4.75331,2.82235,0.0925862
592,4.32248,5.05559,0.0225637
593,4.80852,7.91941,0.0364277
594,3.66141,1.28176,0.303883
595,3.62693,2.31868,0.420216
596,3.87226,2.51481,0.116095
597,3.66662,2.6367,0.102959
598,3.62341,4.14138,0.029894
599,3.75049,3.89862,0.0810554
600,3.61022,5.64288,0.0908591
601,4.19133,5.57719,0.751811
602,3.91703,6.17034,0.0289553
603,6.0097,1.28286,0.300407
604,3.76715,6.12915,0.357754
605,3.90214,4.70541,0.977793
606,4.07098,4.82768,0.322743
607,3.71229,4.99533,0.888011
608,3.87577,1.18046,0.77939
609,3.55822,2.31189,0.139428
610,4.31008,1.22213,0.19395
611,3.85298,8.49147,0.0193282
612,4.87136,1.03179,0.369842
613,3.56908,4.25728,0.137484
614,4.19278,2.80598,0.321563
615,5.39046,0.401728,0.807787
616,4.02487,3.56091,0.250198
617,4.22708,1.98837,0.266515
618,3.66793,1.63672,0.26155
619,4.21506,1.1374,0.407517
620,4.72553,3.69333,0.225744
621,3.65287,4.69455,0.669911
622,3.57726,4.12372,0.0406277
623,3.77004,1.28,0.288689
624,3.5541,4.4746,0.666212
625,3.92958,5.58547,0.608547
626,4.40109,0.170973,0.767945
627,3.6351,3.44688,0.0253262
628,3.59254,4.11675,0.0635806
629,3.53577,5.39247,0.0185583
630,3.81484,3.82096,0.0231901
631,3.93668,2.91461,0.0901614
632,3.55342,4.82409,0.422129
633,3.75082,4.32445,0.19826
634,4.29501,1.06345,0.372937
635,4.38327,0.797465,0.470758
636,3.6348,3.22084,0.152238
637,3.79647,4.2952,0.0163968
638,4.7211,2.92878,0.575682
639,4.74223,4.78287,0.271432
640,3.91504,5.71008,0.560102
641,4.70908,2.10581,0.389535
642,4.15058,2.77103,0.135536
643,3.95998,1.54956,0.249071
644,3.74093,6.19036,0.0167102
645,3.66722,6.7626,0.0144691
646,3.88587,5.09691,0.075686
647,3.61637,2.16695,0.394393
648,3.56624,2.25349,0.0788778
649,5.56198,0.293704,0.85097
650,4.50309,2.16029,0.117748
651,6.13382,1.04919,0.733552
652,6.4804,2.65525,0.264885
653,4.47536,1.15083,0.629711
654,3.97417,2.17757,0.91754
655,3.91882,6.50488,0.0227139
656,3.58263,0.00652085,0.840773
657,8.5975,0.762188,0.703115
658,3.81081,4.02879,0.0398965
659,4.07777,3.57435,0.0287967
660,3.89692,0.244492,0.978213
661,4.75287,0.518435,0.996771
662,4.39796,5.87432,0.0614954
663,4.70031,3.93215,0.0246311
664,4.86977,0.710522,0.440892
665,3.71995,6.28018,0.0642105
666,3.85271,1.68402,0.24407
667,4.13914,1.38163,0.345659
668,5.43696,4.84959,0.178102
669,5.25106,4.07203,0.778995
670,4.22342,4.74907,0.310718
671,3.96037,2.6256,0.0950277
672,3.66677,0.295999,0.893933
673,10.1253,6.34561,0.0974378
674,3.73547,1.76046,0.800342
675,4.50173,4.74677,0.0249551
676,4.79991,0.6347,0.598456
677,4.39345,4.14443,0.0591078
678,4.54893,0.730356,0.680467
679,6.81792,1.60999,0.256506
680,3.95133,4.59392,0.288423
681,3.6414,0.0807408,0.875132
682,4.1789,2.29275,0.201098
683,4.38297,5.45982,0.0391935
684,6.52992,2.00867,0.233773
685,3.68275,1.82624,0.191227
686,5.57255,6.61422,0.538718
687,3.80807,5.03569,0.0216616
688,4.1327,2.84987,0.159483
689,5.24074,1.05411,0.290169
690,3.59531,5.70107,0.809083
691,3.56854,0.447525,0.982522
692,4.44529,5.73113,0.560469
693,3.99955,3.57005,0.252478
694,3.81587,3.94471,0.03791
695,4.23109,2.57649,0.173698
696,3.65997,0.561367,0.637634
697,10.5602,1.14025,0.532345
698,3.84464,2.60203,0.0949909
699,4.23335,0.179637,0.829198
700,3.89164,0.696997,0.50986
701,3.90656,3.38015,0.387909
702,3.62474,4.65077,0.110113
703,5.81637,3.1965,0.765139
704,4.01567,3.94464,0.0732269
705,4.7199,1.75646,0.2821
706,3.8786,2.49694,0.0713695
707,8.03087,0.763762,0.507925
708,3.75123,5.45037,0.580792
709,3.93493,4.11249,0.032024
710,3.88856,3.84634,0.0367228
711,5.26361,5.55149,0.252314
712,4.0147,4.60842,0.904179
713,5.83765,2.59093,0.573584
714,4.18052,3.02946,0.156345
715,3.56993,6.64866,0.657928
716,4.26356,1.63417,0.150014
717,5.29534,5.48279,0.975235
718,3.69873,3.18209,0.0515044
719,4.38392,7.7446,0.887791
720,4.11496,2.3167,0.152109
721,4.31578,3.47848,0.889934
722,5.49059,1.03495,0.972758
723,5.52341,2.9967,0.104655
724,8.10124,3.21944,0.0944662
725,5.21528,1.69181,0.666894
726,5.0391,5.21378,0.168451
727,4.76597,0.423707,0.769722
728,4.26713,2.22226,0.661092
729,3.66896,2.02457,0.222014
730,4.17463,1.46324,0.322082
731,4.5809,2.1448,0.115664
732,4.02112,4.95816,0.313504
733,4.01145,4.00044,0.312668
734,3.71086,0.0746985,0.979791
735,3.87821,5.83171,0.88741
736,4.09206,7.0105,0.0604149
737,5.90672,2.32391,0.602689
738,4.43325,1.92306,0.312599
739,3.92624,1.85731,0.984113
740,4.38984,2.73587,0.173224
741,4.98002,0.364099,0.753486
742,3.96294,5.1077,0.229266
743,3.5932,3.24333,0.0487275
744,3.79544,5.71746,0.548849
745,3.96176,2.92196,0.0618394
746,3.5704,3.9958,0.280505
747,3.64297,3.29949,0.188207
748,3.77056,2.77257,0.458481
749,3.947,0.78114,0.720282
750,5.53035,0.687134,0.930064
751,3.68703,0.773498,0.818928
752,6.28386,1.33415,0.269484
753,3.71272,2.93473,0.220259
754,4.58357,2.53342,0.204158
755,5.25555,3.22974,0.336899
756,4.96606,2.20042,0.156688
757,3.56653,3.24227,0.394588
758,4.15848,1.10578,0.55675
759,4.785,1.76676,0.424462
760,4.23329,4.01031,0.330627
761,4.56605,0.292259,0.792059
762,4.17273,0.690834,0.458448
763,5.00631,2.7184,0.575615
764,5.04068,0.822769,0.4768
765,3.61495,0.168625,0.827959
766,3.65287,0.363717,0.57441
767,3.9558,0.241838,0.94912
768,3.65817,2.2463,0.725414
769,4.44279,4.65726,0.0647056
770,3.82474,0.615978,0.558526
771,3.68191,0.155308,0.772719
772,3.99266,0.892264,0.757859
773,3.84996,1.95907,0.262091
774,4.69515,0.861409,0.367224
775,5.21959,0.706882,0.491238
776,3.71237,5.80285,0.0745995
777,4.53304,4.07883,0.154814
778,4.6844,2.30766,0.412659
779,7.22555,0.415553,0.853462
780,3.9809,2.87137,0.45885
781,4.0908,4.20996,0.0965148
782,3.94455,5.17435,0.51235
783,4.00114,1.7946,0.744047
784,3.57266,0.126213,0.78923
785,3.80811,4.54242,0.0218262
786,4.08269,2.78417,0.0937256
787,5.3329,0.845995,0.601299
788,3.70106,0.835019,0.528625
789,4.45702,0.539654,0.621545
790,9.89025,2.86487,0.386271
791,3.65696,4.59739,0.131308
792,3.96486,6.31266,0.0732472
793,5.18599,3.65373,0.431124
794,3.66069,2.48824,0.122304
795,3.60853,0.882409,0.394829
796,3.6603,3.89963,0.876928
797,4.79272,4.50659,0.0204594
798,3.65976,1.16407,0.416553
799,4.63738,3.44304,0.0758431
800,3.66889,5.10178,0.201355
801,3.71833,2.96218,0.387194
802,4.43792,2.80992,0.16856
803,3.95248,5.05895,0.0574482
804,4.49015,4.29935,0.086204
805,3.85506,0.895826,0.345463
806,5.91051,2.41479,0.445496
807,6.26047,0.662624,0.668493
808,6.2464,4.01531,0.0387027
809,3.91735,3.94134,0.0716742
